2024-09-11 06:41:26 install libcrypt1:amd64 <none> 1:4.4.27-1
2024-09-11 06:41:26 status half-installed libcrypt1:amd64 1:4.4.27-1
2024-09-11 06:41:26 status unpacked libcrypt1:amd64 1:4.4.27-1
2024-09-11 06:41:26 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8ubuntu3
2024-09-11 06:41:26 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2024-09-11 06:41:26 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2024-09-11 06:41:27 install libdebconfclient0:amd64 <none> 0.261ubuntu1
2024-09-11 06:41:27 status half-installed libdebconfclient0:amd64 0.261ubuntu1
2024-09-11 06:41:27 status unpacked libdebconfclient0:amd64 0.261ubuntu1
2024-09-11 06:41:27 install libext2fs2:amd64 <none> 1.46.5-2ubuntu1
2024-09-11 06:41:27 status half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2024-09-11 06:41:27 status unpacked libext2fs2:amd64 1.46.5-2ubuntu1
2024-09-11 06:41:27 install libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2024-09-11 06:41:27 status half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:27 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2024-09-11 06:41:27 install libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2024-09-11 06:41:27 status half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
2024-09-11 06:41:27 status unpacked libgcrypt20:amd64 1.9.4-3ubuntu3
2024-09-11 06:41:27 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2024-09-11 06:41:27 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2024-09-11 06:41:27 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2024-09-11 06:41:27 install libgpg-error0:amd64 <none> 1.43-3
2024-09-11 06:41:27 status half-installed libgpg-error0:amd64 1.43-3
2024-09-11 06:41:27 status unpacked libgpg-error0:amd64 1.43-3
2024-09-11 06:41:27 install libgssapi-krb5-2:amd64 <none> 1.19.2-2
2024-09-11 06:41:27 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2024-09-11 06:41:27 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2024-09-11 06:41:27 install libk5crypto3:amd64 <none> 1.19.2-2
2024-09-11 06:41:27 status half-installed libk5crypto3:amd64 1.19.2-2
